"Seat","City","Province","WinParty","WinVotes","RunParty","RunVotes","Df","Margin","Percent","WinPercent"
1,"Peshawar","KPK","PTI",90434,"ANP",24449,65985,2.6988833899137,269.88833899137,">100%"
2,"Peshawar","KPK","PTI",79125,"JUI-F",18787,60338,3.21168893383723,321.168893383723,">100%"
3,"Peshawar","KPK","PTI",67214,"JUI-F",27987,39227,1.40161503555222,140.161503555222,">100%"
4,"Peshawar","KPK","PTI",55134,"PML-N",20412,34722,1.7010582010582,170.10582010582,">100%"
5,"Nowshera","KPK","PTI",69873,"ANP",21185,48688,2.29822987963182,229.822987963182,">100%"
6,"Nowshera","KPK","PTI",54266,"PML-N",34537,19729,0.571242435648725,57.1242435648725,"<75%"
10,"Mardan","KPK","PTI",46531,"JUI-F",39269,7262,0.184929588224808,18.4929588224808,"<25%"
11,"Mardan","KPK","PTI",35349,"JUI-F",25705,9644,0.375179926084419,37.5179926084419,"<50%"
13,"Swabi","KPK","PTI",48416,"JUI-F",28518,19898,0.697734764008696,69.7734764008696,"<75%"
14,"Kohat","KPK","PTI",61742,"JUI-F",31886,29856,0.936335695916703,93.6335695916703,"<100%"
15,"Karak","KPK","PTI",51278,"PML-N",29290,21988,0.750699897575964,75.0699897575964,"<100%"
16,"Hangu","KPK","PTI",23903,"JUI-F",21031,2872,0.136560315724407,13.6560315724407,"<25%"
17,"Abbottabad","KPK","PTI",96185,"PML-N",69568,26617,0.382604070837167,38.2604070837167,"<50%"
29,"Swat","KPK","PTI",88291,"PML-N",24083,64208,2.66611302578582,266.611302578582,">100%"
30,"Swat","KPK","PTI",49887,"PML-N",32853,17034,0.518491461966944,51.8491461966944,"<75%"
35,"Malakand ","KPK","PTI",51249,"JUI-F",22268,28981,1.30146398419256,130.146398419256,">100%"
47,"Tribal Area 2013 ","FATA","PTI",11328,"JUI-F",10240,1088,0.10625,10.625,"<25%"
48,"Islamabad","Federal Capital","PTI",73692,"PML-N",52170,21522,0.412535940195515,41.2535940195515,"<50%"
53,"Rawalpindi","Punjab","PTI",110308,"PML-N",102142,8166,0.0799475240351667,7.99475240351667,"<25%"
56,"Rawalpindi","Punjab","PTI",80425,"PML-N",67167,13258,0.197388598567749,19.7388598567749,"<25%"
71,"Mianwali","Punjab","PTI",132283,"PML-N",72859,59424,0.815602739538012,81.5602739538012,"<100%"
72,"Mianwali","Punjab","PTI",124668,"PML-N",64990,59678,0.918264348361286,91.8264348361286,"<100%"
126,"Lahore","Punjab","PTI",96666,"PML-N",89000,7666,0.0861348314606742,8.61348314606742,"<25%"
149,"Multan","Punjab","PTI",83569,"PML-N",73861,9708,0.131436075872247,13.1436075872247,"<25%"
150,"Multan","Punjab","PTI",92726,"PML-N",79663,13063,0.163978258413567,16.3978258413567,"<25%"
162,"Sahiwal","Punjab","PTI",88004,"Independent",75430,12574,0.166697600424234,16.6697600424234,"<25%"
245,"Karachi","Sindh","PTI",54937,"JI",22452,32485,1.44686442187778,144.686442187778,">100%"
246,"Karachi","Sindh","PTI",31875,"JI",10321,21554,2.08836353066563,208.836353066563,">100%"
250,"Karachi","Sindh","PTI",76305,"MQM",28374,47931,1.68925777119898,168.925777119898,">100%"
